code|level|name|nuts0|nuts1|nuts2|pop3|pop2|pop1|pop0|density|fertility|popchange|womenratio|gdppps|gva
DE11|2|Stuttgart|DE|DE1|DE11|0.0|0.2749863698733551|0.4611973392461197|1.0|0.018544272254787955|0.21038961038961043|0.10711694784577744|0.4611973392461197|0.30161579892280077|0.06515951337516318
DE12|2|Karlsruhe|DE|DE1|DE12|0.0|0.1861681176156321|0.4767184035476715|1.0|0.019313192681016684|0.19480519480519484|0.10151360162211712|0.4767184035476715|0.2531418312387792|0.037119783673317926
DE13|2|Freiburg|DE|DE1|DE13|0.0|0.15028612481313536|0.5144124168514412|1.0|0.011519567126278567|0.21558441558441563|0.1018543251397801|0.5144124168514412|0.2154398563734291|0.025756989481462295
DE14|2|Tübingen|DE|DE1|DE14|0.0|0.12321156644417124|0.4767184035476715|1.0|0.010057669031967155|0.21818181818181823|0.10218973670950625|0.4767184035476715|0.24775583482944347|0.02398677821989688
DE21|2|Oberbayern|DE|DE2|DE21|0.0|0.31100673791166217|0.49889135254988903|1.0|0.012829579704297886|0.20259740259740264|0.1222172981308014|0.49889135254988903|0.3393177737881508|0.08226208295976542
DE22|2|Niederbayern|DE|DE2|DE22|0.0|0.08219747838509132|0.4412416851441241|1.0|0.0056482426371122765|0.19480519480519484|0.10086478512411745|0.4412416851441241|0.2244165170556553|0.014610695237022612
DE23|2|Oberpfalz|DE|DE2|DE23|0.0|0.073618943802067|0.46563192904656314|1.0|0.005387189405985238|0.20259740259740264|0.09811091954371884|0.46563192904656314|0.24236983842010773|0.014072949496548233
DE24|2|Oberfranken|DE|DE2|DE24|0.0|0.0708456651551578|0.5188470066518847|1.0|0.006958255215131595|0.1844155844155844|0.09490857378750993|0.5188470066518847|0.2154398563734291|0.012190326896361322
DE25|2|Mittelfranken|DE|DE2|DE25|0.0|0.11749630418659752|0.5144124168514412|1.0|0.011552792082967462|0.20259740259740264|0.10258509740594815|0.5144124168514412|0.25493716337522443|0.02364339750708565
DE26|2|Unterfranken|DE|DE2|DE26|0.0|0.08741366065547387|0.4900221729490022|1.0|0.007285758359636425|0.19740259740259744|0.09726631982176137|0.4900221729490022|0.23159784560143626|0.016052492396901954
DE27|2|Schwaben|DE|DE2|DE27|0.0|0.1252846730345822|0.4722838137472285|1.0|0.008965991883617722|0.22077922077922077|0.1053382041366415|0.4722838137472285|0.2244165170556553|0.02221312412696684
DE30|2|Berlin|DE|DE3|DE30|0.0|0.24189630485026772|0.52549889135255|1.0|0.20355032394332773|0.1792207792207792|0.11819691239231922|0.52549889135255|0.2244165170556553|0.043054921867802694
DEC0|2|Saarland|DE|DEC|DEC0|0.0|0.0657371965575427|0.5343680709534369|1.0|0.018302204713197427|0.1818181818181818|0.09163034306077475|0.5343680709534369|0.2028725314183124|0.010770780438891939
DED2|2|Dresden|DE|DED|DED2|0.0|0.10606777068203728|0.49889135254988903|1.0|0.009701687353157558|0.22337662337662337|0.09413758248696295|0.49889135254988903|0.17055655296229805|0.014763460237039588
DED4|2|Chemnitz|DE|DED|DED4|0.0|0.09533263979797879|0.5299334811529934|1.0|0.01044212924508152|0.24155844155844156|0.08796509898435555|0.5299334811529934|0.15619389587073607|0.012305595342317063
DED5|2|Leipzig|DE|DED|DED5|0.0|0.06924031331869941|0.52549889135255|1.0|0.01260649785224387|0.19220779220779224|0.09860341300243437|0.52549889135255|0.18132854578096946|0.010067278203191829
DEE0|2|Sachsen-Anhalt|DE|DEE|DEE0|0.0|0.1465597493981341|0.5232815964523281|1.0|0.005130882597242328|0.21818181818181823|0.08322077062705267|0.5232815964523281|0.1526032315978456|0.018590046408106804
