id,name,q,r,colour
TR61,"Antalya, Isparta, Burdur",11,-9,"rgb(159,60,60)"
TR62,"Adana, Mersin",12,-9,"rgb(159,60,60)"
TR63,"Hatay, Kahramanmaraş, Osmaniye",13,-9,"rgb(159,60,60)"
TR71,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",8,-9,"rgb(159,60,60)"
TR72,"Kayseri, Sivas, Yozgat",8,-10,"rgb(159,60,60)"
TR81,"Zonguldak, Karabük, Bartın",9,-10,"rgb(159,60,60)"
TR82,"Kastamonu, Çankırı, Sinop",11,-10,"rgb(159,60,60)"
TR83,"Samsun, Tokat, Çorum, Amasya",12,-10,"rgb(159,60,60)"
TR90,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",13,-10,"rgb(159,60,60)"
TRA1,"Erzurum, Erzincan, Bayburt",10,-10,"rgb(159,60,60)"
TRA2,"Ağrı, Kars, Iğdır, Ardahan",8,-11,"rgb(159,60,60)"
TRB1,"Malatya, Elazığ, Bingöl, Tunceli",9,-11,"rgb(159,60,60)"
TRB2,"Van, Muş, Bitlis, Hakkari",10,-11,"rgb(159,60,60)"
TRC1,"Gaziantep, Adıyaman, Kilis",11,-11,"rgb(159,60,60)"
TRC2,"Şanlıurfa, Diyarbakır",12,-11,"rgb(159,60,60)"
TRC3,"Mardin, Batman, Şırnak, Siirt",13,-11,"rgb(159,60,60)"
